id;customerid;accountnumber;accountclass;customernumber;cif;timelinked;blocked;stopped;dormant
1;6052;ack whereve;pish brr;ouch secondary;though whoa because;2025-01-20T17:29:45;32047;29542;18464
2;27343;entice oppo;modulo tri;keenly gadzooks;meh what;2025-01-20T10:45:18;9550;26018;29149
3;22785;hm;atop huzza;birth lovable promis;search hm;2025-01-20T17:29:28;16934;23692;24946
4;642;even midst ;serenade;pulse since;bah baptise;2025-01-21T02:25:30;23692;8332;7070
5;28603;cantaloupe;solder scu;joshingly how;following qua;2025-01-20T14:04:41;23823;27348;31604
6;6254;fuss hmph g;until;charm;pretty;2025-01-20T17:19:43;3952;8736;9493
7;18668;mmm;well-lit;contravene though;intend;2025-01-21T08:35:36;2141;27414;17418
8;7489;roadway eve;probable m;hence lined;by strong;2025-01-20T08:58:28;13838;26341;18071
9;11508;unfurl SUV ;astride je;bus;excepting think than;2025-01-21T08:00:25;22817;24488;965
10;30667;querulous s;pace happi;yet toady provided;ugh finally smug;2025-01-20T17:17:25;4696;18747;31825
