id;c_ustomerid;a_ccountnumber;a_ccountclass;c_ustomernumber;c_if;t_imelinked;b_locked;s_topped;d_ormant
1;18674;emerge boyf;unless;incidentally almight;yowza embarrassment ;2025-01-17T04:41:59;17355;12133;12351
2;17909;doorpost in;now;who well-to-do;amendment unlucky;2025-01-16T23:45:49;12191;3593;23641
3;10196;however gah;which warm;yahoo until;forenenst recommenda;2025-01-17T12:51:38;13269;27710;22399
4;32024;at spectacl;hourly;jagged massage jealo;gulp underneath;2025-01-16T17:50:23;7148;30497;27753
5;5720;unless;lustrous m;of wonderful althoug;better;2025-01-17T01:33:51;31276;1782;7488
6;31280;over gasp;angrily su;nifty the;physically;2025-01-16T20:57:18;22468;2697;29801
7;1184;oh against ;unaccounta;decode emergent;gosh underneath;2025-01-16T16:46:26;9816;32700;9437
8;21327;evince knit;clavicle;yet corny yahoo;whoa;2025-01-17T07:22:46;9154;28724;23440
9;10899;mill;pant;fiddle futon;brush deplore;2025-01-16T15:38:38;25384;25300;29420
10;14255;nor orient;farm openl;shy;degrease;2025-01-16T21:03:47;12950;24541;31565
