id;a_countname;a_ccountclass;a_ccountcurrency;a_ccountnumber;c_if;t_imelinked;p_honenumber;a_pprovedon;a_pproved;d_eclined;d_eclinedon;r_emarks;l_inkedby;a_pprovedby;l_inked;a_ctive;d_elinkedby;d_elinkedon;d_elinked;a_ccountalias;s_hortcuts
1;clearly sad;recovery political m;embarrassment;oddball convection d;kissingly indolent;2025-01-17T01:46:40;needily without limited;2025-01-17T07:31:47;f;p;2025-01-17T00:10:14;CD;amused delectable yahoo;provided stealthily besides;q;a;um yippee if;2025-01-17T12:45:15;g;degenerate ghost;what
2;till amidst;pleased how willfull;unselfish oh longing;bestride lightly mes;so speedy;2025-01-17T00:04:49;huzzah diversity old-fashioned;2025-01-16T15:42:56;d;s;2025-01-17T01:46:53;psst quip;yuck;marimba sharply;i;b;concerning;2025-01-16T22:47:42;f;weatherize whenever ;yesterday
3;obediently before questioningly;posh before;gah;drug;why irritably whethe;2025-01-16T22:47:34;breastplate access bookcase;2025-01-17T11:34:07;q;s;2025-01-16T17:29:35;super give cake;who ha meh;gee;b;i;past;2025-01-17T09:39:08;a;pace;jumbo knottily
4;shrill jump;privilege gee;laughter yum usable;ugly ha;owlishly yet;2025-01-17T09:18:17;bid unless;2025-01-17T08:02:23;c;a;2025-01-16T22:16:20;apud receptor;openly necklace;icy;p;r;deduce;2025-01-16T15:07:53;j;unless;firsthand after ouch
5;intrepid;over foolishly;ultimately close pai;buzzing hoof camoufl;state innocently;2025-01-16T17:27:10;beneath;2025-01-16T19:26:25;w;a;2025-01-16T21:19:27;modulo blah colorful;following ocelot;linear modulo separate;p;n;opposite;2025-01-17T05:14:51;d;safely since;even zowie indeed
6;er sans;beyond ick apropos;gosh midst;hammock describe liv;bright cram;2025-01-17T02:08:53;uselessly;2025-01-17T07:34:31;n;w;2025-01-16T15:29:35;experienced;hutch;hm;b;g;gee muted charming;2025-01-17T07:47:46;h;boohoo versus;whenever
7;pointed;questioningly fledgl;hmph ha;masticate as presume;forswear space;2025-01-17T00:42:24;questionably dearly;2025-01-16T22:24:41;b;a;2025-01-17T13:25:53;highly rarely;aside;although;t;t;softly;2025-01-16T21:12:21;t;incidentally;righteously
8;baggy;if;now;before physical;capitalise quaff ouc;2025-01-17T12:06:07;reboot deflate;2025-01-17T02:07:25;c;c;2025-01-17T00:10:32;above apostrophize ha;since er;limping athwart;r;e;whoa equally dividend;2025-01-17T12:21:18;r;past;substantial ugh
9;serene whoever;midwife accentuate b;briskly silver;before hence um;upside-down near;2025-01-17T03:57:03;unto an skateboard;2025-01-16T18:00:24;m;i;2025-01-17T00:47:41;meanwhile whoa;equatorial license restaurant;granular hmph certainly;m;p;soon so cannon;2025-01-16T16:01:32;f;shakily phooey;gracefully happily
10;aw but;modulo across hyphen;disk tangible;modulo;phooey;2025-01-16T16:51:10;who disconnection;2025-01-17T13:00:11;c;b;2025-01-17T07:29:49;smoothly following resolve;lonely;psst below inexperienced;s;a;heighten;2025-01-17T13:19:27;h;knavishly along;beyond behind
