id;phonenumber;customername;pinblockedon;pinblockremarks;pinresetby;pinreseton;pinresetapprovedby;pinresetapprovedon;pinresetremarks;branchcode
1;ha;pomelo astride;gently zowie;gadzooks rectangular and;brown despite;whereas;amendment deform yogurt;affectionate reach hornet;past abaft;why yesterday
2;crafty lest;moist;over;righteously;limping;phew;of generously finally;dependable know;rawhide alarmed;fantastic though pet
3;why approach negativ;along;instead seemingly;intently;cheap successfully underneath;likely supposing;lest notwithstanding till;if;case sashay inside;pro
4;beneficial;draft enlightened;drat bitter;plus;ham gorgeous;down vibration;ornate in;adviser chunter;squiggly fuss furthermore;major
5;yellow fatally;thankfully;pertinent;oof;lock;molasses late into;athwart;anti out;by regarding;past giggle careless
6;ugh;reflate excepting along;cinch commandeer;without amid entomb;queasily yahoo;octave oh before;different;worriedly;swiftly;boom
7;hopelessly section k;when;whose;frugal slushy denitrify;marathon urgently;along;than;speedy;distorted gee;gleefully
8;yawningly generally;merge feather;pfft to;forenenst buzzing hm;uh-huh unique whenever;aw fax ironclad;gleaming;rigidly broadly;times till lest;hmph
9;garage of;whimsical honorable ha;remarkable lack pish;quintuple;whoa;midst gah;broken coin;although colorfully;till meh;if besides modulo
10;near;if;gosh;ugly farm;onto following meander;kindheartedly past pigsty;little rationale event;so alongside;wicked ah;monstrous wobbly if
